Putusan,Nomor,Bulan,Pemohon,Termohon,Tingkat proses,Klasifikasi,Tahun,Amar,Amar Lainnya atau catatan
MAHKAMAH AGUNG,2014 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT ASIA PACIFIC FIBERS TBK,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,—
MAHKAMAH AGUNG,1949 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT AUTOCOMP SYSTEMS INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1949 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT AUTOCOMP SYSTEMS INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1727 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT MEAD JOHNSON INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1728 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT WYETH NUTRITION INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1840 B/PK/PJK/2022,6,PT DENSO MANUFAKTURING INDONESIA (dahulu PT ASMO INDONESIA),DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1839 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT DENSO MANUFAKTURING INDONESIA (dahulu PT ASMO INDONESIA),Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1839 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT DENSO MANUFAKTURING INDONESIA (dahulu PT ASMO INDONESIA),Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1681 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1680 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1678 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1679 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1677 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1838 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1838 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1837 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT TETRA PAK INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1836 B/PK/PJK/2022,6,PT EXXONMOBIL LUBRICANTS INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 22 Final,2022,Tolak,—
MAHKAMAH AGUNG,1834 B/PK/PJK/2022,6,PT TOBA PULP LESTARI TBK,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak Perbaikan,—
MAHKAMAH AGUNG,1836 B/PK/PJK/2022,6,PT EXXONMOBIL LUBRICANTS INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 22 Final,2022,Tolak,—
MAHKAMAH AGUNG,1833 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT MARUHACHI INDONESIA,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,1826 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Bea Masuk,2022,Tolak,—
MAHKAMAH AGUNG,1825/B/PK/Pjk/2022,6,PT GEMILANG CIPTA NUSANTARA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Bumi dan BangunanPBB,2022,Kabul,—
MAHKAMAH AGUNG,1824/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1823/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1822/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1821/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1820/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1821/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1820/B/PK/Pjk/2022,6,DIREKTUR JENDERAL PAJAK,PT POLYFIN CANGGIH,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1819/B/PK/Pjk/2022,6,PT SUPERKRANE MITRA UTAMA TBK,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Kabul,—
MAHKAMAH AGUNG,1818/B/PK/Pjk/2022,6,PT PERKEBUNAN NUSANTARA II,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 4 ayat 2 Final,2022,Tolak,—
MAHKAMAH AGUNG,1815/B/PK/Pjk/2022,6,PT TEXMACO JAYA TBK,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1815/B/PK/Pjk/2022,6,PT TEXMACO JAYA TBK,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2412 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2342 B/PK/PJK/2022,5,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2331 B/PK/PJK/2022,4,PT TOYOTA - ASTRA MOTOR,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2330 B/PK/PJK/2022,4,PT TOYOTA - ASTRA MOTOR,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2285 B/PK/PJK/2022,4,PT DELTA DUNIA TEKSTIL,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,2234 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2204 B/PK/PJK/2022,4,CV PUJIMA GOARNA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI KABUL BANDING
MAHKAMAH AGUNG,2168 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT ROHARTINDO NUSANTARA LUAS ,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1203 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT FREEPORT INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1202 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT FREEPORT INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1171 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT KARYA MANDIRI SEMESTA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,284 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT FREEPORT INDONESIA,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI TOLAK BANDING
MAHKAMAH AGUNG,1422 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT NAGASE IMPOR-EKSPOR INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1337 B/PK/PJK/2022,5,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,1331 B/PK/PJK/2022,5,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,1340 B/PK/PJK/2022,5,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,1330 B/PK/PJK/2022,5,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,1221 B/PK/PJK/2022,3,PT EUROKARS MOTOR INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,947 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,917 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SINDORA SERAYA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,861 B/PK/PJK/2022,4,CV PUJIMA GOARNA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,859 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT BINTANG PARUNG KENCANA TEXTILE,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2231 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT BUREAU VERITAS CONSUMER PRODUCTS SERVICES INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2166 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT MAGNAKABEL NUSANTARA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,737 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2236 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2245 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2244 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2243 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2240 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2239 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2238 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2237 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PTEVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2140 B/PK/PJK/2022,4,PT VALE INDONESIA TBK,DIREKTUR JENDERAL BEA DAN CUKAI ,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1211 B/PK/PJK/2022,4,PT TRIAS SENTOSA TBK,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,1210 B/PK/PJK/2022,4,PT TRIAS SENTOSA TBK,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,1173 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT ACE HARDWARE INDONESIA TBK,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,907 B/PK/PJK/2022,3,PT MEROKE TETAP JAYA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,742 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,741 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,740 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,723 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,721 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,722 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,720 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,719 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,594 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT RODA ROLLEN INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2288 B/PK/PJK/2022,4,PT DELTA DUNIA TEKSTIL,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,2287 B/PK/PJK/2022,4,PT DELTA DUNIA TEKSTIL,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,2286 B/PK/PJK/2022,4,PT DELTA DUNIA TEKSTIL,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,2109 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2108 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2107 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2106 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2105 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2092 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1118 B/PK/PJK/2022,3,PT WONOKOYO JAYA CORPORINDO,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,900 B/PK/PJK/2022,4,PT DUTA SARI SEJAHTERA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,798 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT KAWASAKI MOTOR INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,677 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT INDOJAPAN STEEL CENTER,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,2578 B/PK/PJK/2022,5,DIREKTUR JENDERAL BEA DAN CUKAI,PT EVARINDO MEGA MAKMUR,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1129 B/PK/PJK/2022,4,PT CITRA PITA NIAGATAMA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,PK TIDAK DITERIMA
MAHKAMAH AGUNG,1121 B/PK/PJK/2022,3,PT TRIAS SENTOSA TBK,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,1120 B/PK/PJK/2022,4,SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI KABUL BANDING SELURUHNYA
MAHKAMAH AGUNG,1119 B/PK/PJK/2022,3,PT WONOKOYO JAYA CORPORINDO,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1117 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT FREEPORT INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : TOLAK BANDING
MAHKAMAH AGUNG,624 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT MITSUBISHI KRAMA YUDHA MOTORS AND MANUFACTURING,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK KASASI
MAHKAMAH AGUNG,2583 B/PK/PJK/2022,4,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,2104 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Pajak Penghasilan Pasal 21PPh21,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,1228 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,852 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT PELAYARAN SURYA TIMURLINE,Peninjauan Kembali,Cukai,2022,Tolak,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI TOLAK BANDING
MAHKAMAH AGUNG,745 B/PK/PJK/2022,4,DIREKTUR JENDERAL BEA DAN CUKAI,PT HERBALIFE INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,516 B/PK/PJK/2022,3,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,486 B/PK/PJK/2022,3,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,483 B/PK/PJK/2022,3,PT CITRA USAHA LAMINDO,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,482 B/PK/PJK/2022,3,PT CITRA USAHA LAMINDO,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,121 B/PK/PJK/2022,3,PT SYNNEX METRODATA INDONESIA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI : KABUL BANDING
MAHKAMAH AGUNG,901 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT WILMAR CHEMICAL INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,851 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT SYNNEX METRODATA INDONESIA,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,389 B/PK/PJK/2022,3,DIREKTUR JENDERAL BEA DAN CUKAI,PT INDOSAFETY SENTOSA INDUSTRY,Peninjauan Kembali,Cukai,2022,Tolak,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI TOLAK BANDING
MAHKAMAH AGUNG,333 B/PK/PJK/2022,3,PT TIRTA FRESINDO JAYA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,136 B/PK/PJK/2022,3,PT MEROKE TETAP JAYA,DIREKTUR JENDERAL BEA DAN CUKAI,Peninjauan Kembali,Cukai,2022,Kabul,KABUL PK BATAL PUTUSAN PENGADILAN PAJAK ADILI KEMBALI KABUL BANDING
