Putusan,Nomor,Bulan,Pemohon,Termohon,Tingkat proses,Klasifikasi,Tahun,Amar,Amar Lainnya atau catatan
MAHKAMAH AGUNG,3078 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT BUMI SAWIT SUKSES PRATAMA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3077 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3076 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT TETRA PAK INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3075 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3074 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT TETRA PAK INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3073 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3072 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT BUMIPALMA LESTARIPERSADA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3071 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT UNELEC INDONESIA (UNINDO),Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3070 B/PK/PJK/2022,6,PT PARASAWITA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 4 ayat 2 Final,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,3069 B/PK/PJK/2022,6,PT SAIMODA GARMINDO,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,3068 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT INDOMOBIL PRIMA NIAGA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,1886 B/PK/PJK/2022,6,PT SAMSUNG ELECTRONICS INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan Pasal 23PPh23,2022,Tolak,TOLAK PK
MAHKAMAH AGUNG,3061 B/PK/PJK/2022,6,DIREKTUR JENDERAL BEA DAN CUKAI,PT TRANSHIP INDONESIA,Peninjauan Kembali,Bea Masuk,2022,Tolak,—
MAHKAMAH AGUNG,3058 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT SUKSES KARYA PERDANA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3057 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT CITRANUSA INDOMAKMUR,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3054 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3053 B/PK/PJK/2022,6,PT TETRA PAK INDONESIA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3052 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT SEMEN INDONESIA (PERSERO) TBK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3051 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT TETRA PAK INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3049 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT SEMEN INDONESIA (PERSERO) TBK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3048 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT SEMEN INDONESIA (PERSERO) TBK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3046 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT KARYA TANAH SUBUR,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3045 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT KARYA TANAH SUBUR,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3044 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT KARYA TANAH SUBUR,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3038 B/PK/PJK/2022,6,PT PARASAWITA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Gugatan tidak dapat diterima,NO
MAHKAMAH AGUNG,3035 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,KUSDIONO,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3034 B/PK/PJK/2022,6,PT FENG TAY INDONESIA ENTERPRISES,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,3033 B/PK/PJK/2022,6,PT KHRISNA DUTA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3032 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT TAKEDA INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3030 B/PK/PJK/2022,6,PT INTERMAS TATA TRADING,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Penghasilan BadanPPhBd,2022,Tolak,—
MAHKAMAH AGUNG,3029 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,PT INDOSAT TBK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,3023 B/PK/PJK/2022,6,DIREKTUR JENDERAL PAJAK,BUT FORTUNA RESOURCES (SUNDA) LIMITED,Peninjauan Kembali,Pajak Penghasilan Pasal 26PPh26,2022,Tolak,—
MAHKAMAH AGUNG,2638 B/PK/PJK/2022,4,DIREKTUR JENDERAL PAJAK,PT GH EMM INDONESIA,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
MAHKAMAH AGUNG,2636 B/PK/PJK/2022,4,PT BATUTUA TEMBAGA RAYA,DIREKTUR JENDERAL PAJAK,Peninjauan Kembali,Pajak Pertambahan NilaiPPN,2022,Tolak,—
